score;content;label
5;Thank you aplikasinya ga cuma cari loker aja cuma buka relasi lebih luas. ðŸ˜ŠðŸ‘ðŸ‘ðŸ‘;positif
1;Aplikasi ga jelass, bikin ribet;negatif
5;App yang bagus untuk pencari peluang dan ilmu Pokoknya good ðŸ‘banyak wawasan pengetahuan dari para profesional;positif
1;Setiap buka aplikasi LinkedIn langsung keluar lagi buka lagi aplikasi nya keluar lagi kesel banget;negatif
1;Linked bukan menyediakan info lowongan kerja tapi linked kebanyakan menyediakan info jualan iklan produk perusahan ,pengaturan aflikasi kamu ini rumit ribet tak praktis tak simpel tak banyak aturan ðŸ˜ŽðŸ‘Ž;negatif
3;Mau lihat dulu fungsi aplikasinya;netral
3;"App berhenti / menutup paksa ketika menekan tombol untuk halaman ""posting"" di sticky footer. Saya akan tingkatkan bintang setika ini teratasi.";negatif
5;Fungsionalitasnya memadai;positif
1;Terima kasih telah banyak membantu orang mencari pekerjaan. Tapi kenapa melamar di linkedln selalu terdapat pihak pihak yg tidak bertanggung jawab . Yg merespon lamaran lamaran yg kita kirimkan. dengan modus penipuan. Mohon pihak linkedln perketat lagi lamaran lamaran pekerjaan yang kami kirimkan. Sehingga pihak pihak yg tidak bertanggung jawab. Bisa membalas lamaran kami dengan modus terima pekerjaan tetapi berkedok penipuan semua. Waspadalah hati hati untuk melamar di aplikasi ini. Makasih;negatif
2;Lowongan yg di tawarkan banyak tp ya itu.. Harus pindah lagi ke aplikasi lain.. Jadi ya ngak ngaruh dong kita buat cv di linkedin ini... Kalau bisa kedepanya.. Tinggal share aja..;netral
1;Akses akun dibatasi padahal baru buat akun!!! Verifikasi berulang terus?!! Aplikasi macam apa ini!!!;negatif
5;Sekian lama menggunakan dan tak pernah bosan.Good Jobs LinkedIn.Terima kasih;positif
5;Sangat membantu dalam pencarian kerja.. Walaupun sampai sekarang belum dapat.. Tapi aplikasi ini sangat membantu sekali. ðŸ™;positif
1;Tolong hp saya secara teknis mumpuni tp kenapa setiap log in gak bsa tiba2 log out sendiri;negatif
4;Aplikasi ini sangat bagus sih tapi hadirkan dark mode ya di versi yang akan datang...;positif
2;Di LinkedIn bisa update pekerjaan, tapi kadang jadi lupa buat update skil;netral
4;Saya tidak memiliki keluhan besar, meskipun aplikasinya cukup sederhana.;netral
1;Aplikasi apa ini,diajukan pendeletan akun masih muncul trs;negatif
5;Sudah cukup bagus dan sangat membantu saya dalam memperoleh informasi sesuai dgn kebutuhan dan keahlian kami;positif
1;Kak tolong di perbaiki di verifikasi capcha nya tidak valid terus. Sudah tebak gambar sampai berkali kali pun tetap tidak bisa padahal jawaban sudah centang benar. Jadinya tidak bisa login;negatif
5;stlah 2 thung tidak login. sekalinya login ktmu sama atasan dan lngsung masuk penawaran kerja. hihiHihiiðŸ˜ŽðŸ˜;positif
1;Aneh berkali-kali log in ga bisa padahal kata sandi sama user name nya bener;negatif
5;"Udah beberapa hari pakai linkedIn tadinya bisa2 aja , tapi kok ini dari kemaren setiap login ""Akun Anda Nonaktif"" kenapa ya :( padahal lagi banyak koneksi yg lagi aku tanya2ðŸ˜­ðŸ˜­ðŸ˜­";negatif
5;Sangat bagus, dapat memberikan peluang kepada saya untuk berkembang.. Terimakasih.;positif
4;Tidak ada masalah besar, meskipun ada ruang untuk perbaikan.;netral
4;Banyak iklan di LinkedIn, tapi kadang ada juga yang cocok sama saya;netral
5;Lumayan juga app ini;positif
1;"Saya sangat kecewa karena tidak bisa mengulang kata sandi saya, karena ada opsi ""tidak, ini bukan saya ""iya, ini saya"" Nah saya pencet opsi ""iya, ini saya"" Setelah saya pencet malah ada kedua opsi tersebut lagi, tolonglah LinkedIn perbaiki bug ini.";negatif
1;verifikasi nya kenapa sih, udah pake ktp juga tapi selalu ga bisa padahal fotonya udah jelas. akun udah ke banned 4 kali ga bisa log in lagi gara-gara verifikasi nya menyusahkan.;negatif
5;Aplikasi yang bagus, tidak hanya untuk apply lowker saja, tapi d sni bisa silahturahmi dengan orang2 hebat dan baik2;positif
1;apk ga jelas, ga membantu;negatif
5;Aplikasinya sangat bagus, membatu saya dalam mencari pekerjaan dan relasi profesional. Tingkatkan lagi layanannya!;positif
5;Salah satu platform media sosial yang luar biasa. Lebih tepatnya adalah platform untuk personal branding.;positif
5;Pengalaman penggunaan saya biasa saja, tidak ada keluhan besar.;netral
1;Filter gak masuk akal.. udh input lokasi jakarta tapi masih nampilin lowongan dari seluruh dunia.. gak bsa diurut dari yg terbaru.. masa kalah ama jobstreett.. hei muhasabah diri kalian kapitalis..;negatif
1;Apaan sih, bikin verifikasi cacha tapi ga bekerja dgn benar, bikin susah login aja;negatif
1;Tidal bisa login karena terus minta verifikasi, sudah di beri foto id card masih tida bisa di akses hingga berulang kali;negatif
5;Semuanya bagus...coba tambah tanggal posting nya..;positif
5;Wah sy gak bs nonton lanjut langsung;netral
5;Saya merasa cukup puas dengan aplikasi ini, tidak ada yang mencolok.;netral
1;2 tahun sy mengunakn aplikasi bodong balasan pun nihil yg ada balasan kabar melalui email buat daftar lowongan kerja terus terusan. Ngabisin paket data, nyesel download , TUTUP AJA APLIKASI INI MERUGIKAN COUNSUMEN MAS BRO 2 tahun menunggu via email, rugi...........;negatif
3;Aplikasi ini memiliki performa yang memadai untuk kebutuhan umum.;positif
5;Sangat efektif untuk cari informasi pekerjaan dan informasi baru untuk tambah wawasan;positif
4;Pengalaman saya dengan aplikasi ini cukup lancar dan tidak menyulitkan.;netral
1;Mohon untuk LinkedIn bisa terhubung dengan wa, instagram, Facebook, Dan bekerja sama dengan indeed, jobstreet dan layanan akun kerja lainnya supaya saya ga daftar2 lgi;netral
5;Terimakasih Linkedin.... aplikasi yang benar benar bagus untuk pencari kerja;positif
4;Mohon untuk info loker di Linkedln bisa selalu di filter kebenarannya agar pengguna merasa nyaman terutama bagi para pencari pekerjaan di aplikasi ini. Semoga aplikasi ini bisa dikembangkan agar menjadi lebih baik,... Terima Kasih dan Sukses selalu...;netral
4;Pengalaman penggunaannya cukup stabil, tanpa masalah berarti.;netral
1;Respon lambat untuk verifikasi data. Kotak masuk email gak ada. Spam gak ada. Kurang CANGGIH server kalian;negatif
4;Fitur yang tersedia bekerja sebagaimana mestinya.;positif
1;Iklan terlalu lama;negatif
2;Aplikasi ini berjalan dengan baik, meskipun tampilannya biasa saja.;netral
4;Penggunaannya cukup nyaman, meskipun tidak ada yang menonjol.;netral
1;"setelah saya ganti perangkat, saytidak bisa login. sudah memasukkan nomor tlf dan kata sandi yg benar tp tidak ada respon Apapun ketika diklik ""lanjutkan"". tolong perbaiki bug ini mengingat banyak sekali data diri didamnya!";negatif
4;Aplikasi buat job seeker yang palinh fav karna UI/UX nya enak dipandang dan mudah untuk dipahami.;positif
2;Fitur yang tersedia sudah memadai untuk kebutuhan saya.;positif
3;Aplikasinya cukup bagus dan sangat membantu saya sebagai Owner perusahaan. Namun sangat disayangkan untuk pembayaran iklan atau postingan berbayar tidak bisa menggunakan pembayaran digital seperti gopay, shopee pay, dana, dll;netral
5;saya lulusan S-1 teknik mesin USU dan sudah bekerja di cargill tropical palm selama 4 tahun sebagai production supervisor. dengan pengalaman ini saya yakin dan mampu dapat memberikan hal posistif buat perusahaan ini;positif
4;Pengalaman saya dengan aplikasi ini lumayan memadai.;positif
5;Apk yg bermanfaat utk menimba ilmu dan insight, dan mencari pekerjaan pastinya;positif
5;Aplikasi yang sangat positif buat semua kalangan ... Pokoe ada yang baper ðŸ‘;positif
5;Good applikasi nya;positif
1;Aplikasi taiiii mau masuk aja ga masuk2 log in nya susah...di suruh pecahkan teka teki suruh liat gambar yang ngadep ke atas tapi jawaban akhir nya salah mulu...taiiiii doang....;negatif
5;Membantu dalam pekerjaan saya sebagai marketing bisa bertemu profesional...tapi sayang kok saya ga bisa kirim video di status.. Mohon di respon dong admin;netral
5;Penggunaannya cukup mudah, meskipun ada beberapa hal yang perlu ditingkatkan.;netral
3;Linkedin sangat membantu utk info lowongan pekerjaan trims atas bantuan dan perhatiannya.;positif
5;sangat membantu dan memperrmudah dalam mencari teman dan pwkerjaan;positif
5;mau login tapi dpt bacaan pengguna mendapatkan challenge itu apa ya;netral
1;"mengapa saya tidak bisa login? ðŸ˜ dan ketika saya memasukkan nomor telepon ada tulisan""anda tidak dapat memasukkan nomor telepon ini""(kira kira seperti itu) kalo bukan aplikaai bawaan pasti udah saya uninstall dari dulu....huuh...ðŸ˜¡(handphone saya samsung a30)";negatif
1;Saya kasih bintang 1 dulu karna info keteranganya kurang mendetail untuk terhubung langsung dan info selanjutnya;negatif
5;Sangat berguna sekitar buat jaringan profesional;positif
5;Aplikasi yang sangat bagus dan sangat bermanfaat bagi saya dan sesama seprofesi saya yaitu sebagai pelaut aplikasi LinkedIn ini sangat bermanfaat;positif
4;Aplikasi ini bekerja dengan baik untuk fungsi dasarnya.;netral
1;Terlalu kebahasa inggris an, terlalu mematok umur, tidak memperhatikan pengalaman otodidak;negatif
1;Baru 2 minggu tidak aktif Linkedln, saat buka aplikasi lagi ternyata akun saya di nonaktifkan.;negatif
5;Aplikasi ini terasa biasa saja, tetapi tetap berfungsi dengan baik.;netral
5;IN Linksdln sangat bagus dan sangat membantu menemukan teman-teman di kontak atau cari teman baru melalui Linkedln ini.aplikasi yang sangat menarik dan membantu sekali,terima kasih;positif
2;Layanan yang disediakan cukup standar, sesuai ekspektasi.;netral
3;Secara keseluruhan, aplikasi ini standar.;netral
4;Tidak terlalu buruk, tetapi juga tidak terlalu mengesankan.;netral
4;Aplikasi banyak membantu terhubung dengan para profesional tapi belum pernah ada yang deal dari jobseeker. Kebanyakan hanya sebagai formalitas saja untuk menggugurkan kewajiban mereka;netral
5;Sangat membantu setiap ad lowongan ngasih tau..terima kasih linkedln;positif
5;Gabung di aplikasi In, bukan saja banyak sahabat , tp banyak mengetahui aneka pekerjaan / profesi yg luar biasa, sangat bermanfaat dech ðŸ™;positif
1;Login nya susah, minta captcha terus. Perbaiki. Thank You;negatif
5;Platform untuk cari pekerjaan dan menambah skill serta relasi.;positif
4;semangat untuk berkarir dengan menyesuaikan zaman dengan mempermudah dgn aplikasi ini smoga bisa.mnambah wawasan dan sukses bersama;positif
1;App setres pw udh benar email udh benar ttep aj sruh verifikasi gj bngst mempersulit kerja orang aj ,smpe hrus msukin id pasport dkk ,app g ad bintang y gni tolong d benerin biar mempersulit penggunaan;negatif
5;Aplikasi yang berguna menambah wawasan dan membantu menciptakan lapangan kerja bagi yang membutuhkan.;positif
5;Aplikasi google yang sangat potensial untuk pengembangan diri saya khususnya dalam bidang komunikasi. Ok thanks;positif
5;Apk ini sangat membantu yg ingin mencari pekerjaan nya apa lagi skrg cari kerja susah;positif
